2025-09-12T06:12:19.595729Z 0
2025-09-12T06:12:19.607540Z 0
2025-09-12T06:12:19.617944Z 0
2025-09-12T06:12:19.628555Z 0
2025-09-12T06:12:19.639553Z 0
2025-09-12T06:12:19.640324Z 222
2025-09-12T06:12:19.650989Z 100
2025-09-12T06:12:19.662167Z 90
2025-09-12T06:12:19.662969Z 181
2025-09-12T06:12:19.673672Z 142
2025-09-12T06:12:19.685246Z 142
2025-09-12T06:12:19.696688Z 117
2025-09-12T06:12:19.697774Z 176
2025-09-12T06:12:19.708757Z 166
2025-09-12T06:12:19.720726Z 150
2025-09-12T06:12:19.732672Z 136
2025-09-12T06:12:19.744752Z 125
2025-09-12T06:12:19.756795Z 120
2025-09-12T06:12:19.768897Z 115
2025-09-12T06:12:19.780165Z 115
2025-09-12T06:12:19.793735Z 111
2025-09-12T06:12:19.805094Z 111
2025-09-12T06:12:19.806733Z 148
2025-09-12T06:12:19.818711Z 58
2025-09-12T06:12:19.834122Z 58
2025-09-12T06:12:19.843523Z 235
2025-09-12T06:12:19.855312Z 235
2025-09-12T06:12:19.862725Z 455
2025-09-12T06:12:19.874988Z 455
2025-09-12T06:12:19.879009Z 485
2025-09-12T06:12:19.889958Z 485
2025-09-12T06:12:19.903634Z 485
2025-09-12T06:12:19.917880Z 485
2025-09-12T06:12:19.933965Z 485
2025-09-12T06:12:19.949990Z 485
2025-09-12T06:12:19.955251Z 529
2025-09-12T06:12:19.966807Z 529
2025-09-12T06:12:19.982402Z 529
2025-09-12T06:12:19.997653Z 529
2025-09-12T06:12:20.013353Z 529
2025-09-12T06:12:20.028760Z 529
2025-09-12T06:12:20.044469Z 529
2025-09-12T06:12:20.060884Z 529
2025-09-12T06:12:20.077228Z 529
2025-09-12T06:12:20.090360Z 529
2025-09-12T06:12:20.106591Z 529
2025-09-12T06:12:20.122534Z 529
2025-09-12T06:12:20.138389Z 529
2025-09-12T06:12:20.154011Z 529
2025-09-12T06:12:20.169500Z 529
2025-09-12T06:12:20.184771Z 529
2025-09-12T06:12:20.201038Z 529
2025-09-12T06:12:20.217528Z 529
2025-09-12T06:12:20.233199Z 529
2025-09-12T06:12:20.235926Z 544
2025-09-12T06:12:20.246811Z 544
2025-09-12T06:12:20.259805Z 544
2025-09-12T06:12:20.272993Z 544
2025-09-12T06:12:20.288931Z 544
