2025-09-11T06:34:19.999833Z	0	0	0	58
2025-09-11T06:34:20.040018Z	47	13	0	58
2025-09-11T06:34:22.723104Z	47	0	9	61
2025-09-11T06:34:23.790929Z	47	0	9	62
2025-09-11T06:34:28.613421Z	47	0	9	62
2025-09-11T06:34:29.684793Z	47	0	9	63
2025-09-11T06:34:31.271963Z	47	0	11	63
2025-09-11T06:34:33.465125Z	47	7	6	63
2025-09-11T06:34:34.542276Z	47	9	4	63
2025-09-11T06:34:36.147195Z	47	9	4	64
2025-09-11T06:34:36.675276Z	47	9	4	66
2025-09-11T06:34:39.971715Z	47	10	2	66
2025-09-11T06:34:44.840759Z	47	0	9	68
2025-09-11T06:34:56.189814Z	47	0	11	67
2025-09-11T06:34:57.835091Z	47	4	10	67
2025-09-11T06:34:58.939217Z	47	5	9	67
2025-09-11T06:35:08.118366Z	47	0	10	68
2025-09-11T06:35:13.068645Z	47	5	7	68
2025-09-11T06:35:17.369247Z	47	6	5	68
2025-09-11T06:35:22.225502Z	47	6	5	69
2025-09-11T06:35:30.265440Z	47	6	5	70
2025-09-11T06:35:30.307795Z	47	8	4	70
