2025-09-11T09:51:21.274081Z	25509960000	25509960	0
2025-09-11T09:51:21.665865Z	6115610000	6115610	0
2025-09-11T09:51:23.687918Z	6115610000	6115610	0
2025-09-11T09:51:29.212777Z	6115610000	6115610	0
2025-09-11T09:51:30.223145Z	6284360000	6284360	0
2025-09-11T09:51:30.705067Z	6115610000	6115610	0
2025-09-11T09:51:44.792048Z	6115610000	6115610	0
2025-09-11T09:51:46.300527Z	6115610000	6115610	0
2025-09-11T09:51:48.829996Z	6115610000	6115610	0
2025-09-11T09:51:58.357621Z	6115610000	6115610	0
2025-09-11T09:51:59.900116Z	6115610000	6115610	0
2025-09-11T09:52:03.888898Z	6115610000	6115610	0
2025-09-11T09:52:11.449044Z	6115610000	6115610	0
2025-09-11T09:52:12.472645Z	6115610000	6115610	0
2025-09-11T09:52:13.475907Z	6115610000	6115610	0
2025-09-11T09:52:15.478898Z	6115610000	6115610	0
2025-09-11T09:52:17.997724Z	6115610000	6115610	0
2025-09-11T09:52:18.981516Z	6115610000	6115610	0
2025-09-11T09:52:27.534737Z	6115610000	6115610	0
2025-09-11T09:52:30.052127Z	6115610000	6115610	0
2025-09-11T09:52:31.546076Z	6204580000	6204580	0
2025-09-11T09:52:32.068627Z	6115610000	6115610	0
2025-09-11T09:52:33.574473Z	6115610000	6115610	0
2025-09-11T09:52:38.082979Z	6115610000	6115610	0
2025-09-11T09:52:49.172018Z	6115610000	6115610	0
2025-09-11T09:52:58.735372Z	6115610000	6115610	0
2025-09-11T09:53:05.766185Z	6115610000	6115610	0
2025-09-11T09:53:35.460226Z	6115610000	6115610	0
2025-09-11T09:53:37.487077Z	6115610000	6115610	0
2025-09-11T09:53:39.001802Z	6115610000	6115610	0
2025-09-11T09:53:48.073066Z	6115610000	6115610	0
2025-09-11T09:53:51.084533Z	6115610000	6115610	0
2025-09-11T09:53:57.133388Z	6115610000	6115610	0
2025-09-11T09:54:11.317327Z	6115610000	6115610	0
2025-09-11T09:55:25.613589Z	6115610000	6115610	0
2025-09-11T09:55:31.173930Z	6097020000	6096120	9
2025-09-11T09:55:31.678476Z	5986280000	5985380	9
2025-09-11T09:55:33.565565Z	5953060000	5951660	14
2025-09-11T09:55:35.816147Z	5768300000	5766400	19
2025-09-11T09:55:37.809548Z	5899750000	5898150	16
2025-09-11T09:55:41.509023Z	5984695000	5982795	19
2025-09-11T09:55:41.792480Z	5858695000	5856795	19
2025-09-11T09:55:53.830656Z	5792265000	5790065	22
2025-09-11T09:55:53.923234Z	5754345000	5752145	22
2025-09-11T09:56:13.572869Z	5701100000	5699200	19
2025-09-11T09:56:23.830981Z	5958720000	5956420	23
2025-09-11T09:57:07.325563Z	5886710000	5884010	27
2025-09-11T09:57:36.636085Z	5962640000	5959740	29
2025-09-11T09:57:42.414219Z	5992390000	5989490	29
2025-09-11T10:10:16.231466Z	5989890000	5986990	29
2025-09-11T10:10:16.349021Z	5966640000	5963740	29
2025-09-11T10:14:33.682458Z	5948275000	5945475	28
2025-09-11T10:15:22.568051Z	5990565000	5987965	26
2025-09-11T10:33:03.063541Z	5973015000	5970215	28
2025-09-11T10:33:03.149415Z	5922265000	5919465	28
2025-09-11T10:36:52.421556Z	5917335000	5914435	29
2025-09-11T10:36:52.639255Z	5808835000	5805935	29
